name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s),busy(s)
binarytrees,node,4,7,1008,0.355,24020,0,10% 48% 43% 11%,1.781,1.985
binarytrees,node,4,14,1008,0.605,836,0,36% 89% 42% 36%,0.374,0.760
binarytrees,node,4,21,1008,100.101,574408,0,80% 78% 81% 78%,31.800,100.717
binarytrees,node,4,21,1008,99.881,532368,0,78% 80% 80% 83%,31.297,100.489
binarytrees,node,4,21,1008,101.036,574272,0,82% 77% 82% 76%,32.104,101.622
binarytrees,node,4,21,1008,99.956,542972,0,80% 82% 78% 78%,31.707,100.788
binarytrees,node,4,21,1008,99.729,553412,0,79% 78% 77% 80%,31.942,100.243
binarytrees,node,4,21,1008,99.973,544920,0,79% 81% 78% 78%,31.771,100.540
binarytrees,swift,1,7,714,0.030,9576,0,3% 0% 100% 0%,1.199,1.240
binarytrees,swift,1,14,714,0.640,1012,0,87% 58% 87% 54%,0.235,0.672
binarytrees,swift,1,21,714,132.724,733728,0,78% 70% 74% 75%,44.926,133.236
binarytrees,mri,1,7,376,0.021,8,0,47% 7% 17% 30%,0.580,0.583
binarytrees,mri,1,14,376,3.860,19108,0,1% 2% 4% 100%,3.865,4.146
binarytrees,mri,1,21,376,1834.155,1558448,0,77% 1% 1% 24%,1836.229,1858.107
binarytrees,jruby,4,7,364,13.450,175060,0,37% 28% 39% 51%,11.831,18.365
binarytrees,jruby,4,14,364,12.761,195712,0,54% 63% 96% 67%,4.643,12.960
binarytrees,jruby,4,21,364,121.553,1918704,0,28% 33% 29% 39%,96.263,123.879
binarytrees,mri,4,7,364,0.018,8,0,69% 2% 0% 23%,0.443,0.417
binarytrees,mri,4,14,364,3.357,19060,0,0% 5% 5% 100%,3.362,3.701
binarytrees,mri,4,21,364,1728.771,1558556,0,100% 0% 1% 0%,1730.741,1747.694
binarytrees,dartexe,3,7,1206,0.041,0,0,45% 0% 6% 71%,0.323,0.394
binarytrees,dartexe,3,14,1206,0.369,0,0,41% 47% 58% 61%,0.187,0.388
binarytrees,dartexe,3,21,1206,93.537,1420464,0,50% 47% 48% 54%,47.537,94.853
binarytrees,dartexe,3,21,1206,93.431,1371364,0,44% 63% 44% 46%,47.762,94.310
binarytrees,dartexe,3,21,1206,90.926,1395420,0,61% 46% 45% 44%,46.698,91.606
binarytrees,dartexe,3,21,1206,93.094,1325616,0,63% 46% 42% 48%,47.369,93.919
binarytrees,dartexe,3,21,1206,92.007,1435224,0,44% 63% 45% 45%,47.019,92.701
binarytrees,dartexe,3,21,1206,92.136,1377412,0,47% 45% 63% 43%,47.349,93.823
binarytrees,typescript,2,7,456,0.143,28448,0,48% 8% 4% 17%,2.110,1.636
binarytrees,typescript,2,14,456,0.268,860,0,9% 21% 87% 17%,0.243,0.323
binarytrees,typescript,2,21,456,91.295,683732,0,63% 43% 34% 37%,52.195,92.107
binarytrees,typescript,2,21,456,92.299,644516,0,41% 55% 48% 36%,51.892,93.083
binarytrees,typescript,2,21,456,93.752,654368,0,55% 43% 46% 40%,51.288,94.435
binarytrees,typescript,2,21,456,92.938,645280,0,37% 38% 42% 65%,51.452,93.765
binarytrees,typescript,2,21,456,90.472,693908,0,36% 39% 64% 38%,52.026,91.202
binarytrees,typescript,2,21,456,92.393,641640,0,64% 38% 39% 37%,52.217,93.159
binarytrees,yarv,5,7,1107,3.817,14416,0,78% 20% 22% 48%,6.100,10.253
binarytrees,yarv,5,14,1107,4.666,17508,0,51% 79% 49% 94%,1.761,4.784
binarytrees,yarv,5,21,1107,220.557,413136,0,79% 90% 80% 93%,64.754,221.943
binarytrees,php,1,7,451,0.017,2852,0,7% 4% 4% 44%,0.680,0.410
binarytrees,php,1,14,451,0.761,13576,0,47% 62% 0% 99%,0.772,1.605
binarytrees,php,1,21,451,168.890,738336,0,23% 4% 1% 73%,169.042,170.812
binarytrees,sbcl,2,7,644,0.000,0,-10,96% 3% 0% 64%,0.733,1.195
binarytrees,sbcl,2,14,644,0.000,0,-10,96% 3% 0% 64%,0.733,1.195
binarytrees,sbcl,2,21,644,0.000,0,-10,96% 3% 0% 64%,0.733,1.195
binarytrees,node,5,7,994,0.325,23016,0,4% 54% 55% 5%,1.849,2.184
binarytrees,node,5,14,994,0.607,868,0,51% 88% 36% 40%,0.382,0.822
binarytrees,node,5,21,994,96.166,883388,0,79% 86% 79% 84%,29.614,96.745
binarytrees,node,5,21,994,96.278,894544,0,81% 83% 81% 84%,29.568,96.901
binarytrees,node,5,21,994,95.699,891592,0,80% 84% 78% 80%,29.911,96.224
binarytrees,node,5,21,994,96.272,881772,0,80% 81% 85% 77%,29.987,96.820
binarytrees,node,5,21,994,96.472,871896,0,78% 85% 79% 80%,30.164,97.000
binarytrees,node,5,21,994,97.798,894492,0,79% 84% 81% 81%,30.180,98.326
binarytrees,hipe,2,7,478,0.292,20488,0,60% 42% 50% 57%,4.256,8.903
binarytrees,hipe,2,14,478,0.334,0,0,45% 50% 76% 32%,0.186,0.379
binarytrees,hipe,2,21,478,24.560,439528,0,87% 72% 72% 71%,8.182,24.755
binarytrees,hipe,2,21,478,24.398,438600,0,75% 70% 67% 83%,8.420,24.831
binarytrees,hipe,2,21,478,24.114,464444,0,69% 75% 78% 75%,8.274,24.580
binarytrees,hipe,2,21,478,24.437,438952,0,78% 79% 72% 68%,8.314,24.643
binarytrees,hipe,2,21,478,24.255,460744,0,64% 73% 82% 72%,8.380,24.364
binarytrees,hipe,2,21,478,24.562,438232,0,76% 63% 78% 71%,8.567,24.717
binarytrees,racketcs,3,7,473,0.419,61932,0,1% 52% 66% 0%,2.373,2.832
binarytrees,racketcs,3,14,473,0.415,1260,0,5% 100% 0% 0%,0.419,0.439
binarytrees,racketcs,3,21,473,13.753,392920,0,1% 0% 0% 100%,13.778,14.059
binarytrees,racketcs,3,21,473,13.732,388332,0,1% 0% 0% 100%,13.757,13.927
binarytrees,racketcs,3,21,473,13.750,390564,0,100% 2% 2% 0%,13.773,14.214
binarytrees,racketcs,3,21,473,13.779,379464,0,0% 1% 0% 100%,13.804,13.894
binarytrees,racketcs,3,21,473,13.736,380612,0,100% 1% 0% 0%,13.761,13.892
binarytrees,racketcs,3,21,473,13.560,409884,0,0% 1% 0% 100%,13.584,13.714
binarytrees,mri,2,7,378,0.019,8,0,0% 78% 19% 6%,0.475,0.489
binarytrees,mri,2,14,378,3.875,19208,0,0% 100% 5% 0%,3.879,4.059
binarytrees,mri,2,21,378,1828.174,1558496,0,11% 1% 1% 88%,1830.376,1848.209
binarytrees,gpp,3,7,945,0.004,0,0,69% 89% 0% 0%,0.283,0.449
binarytrees,gpp,3,14,945,0.065,0,0,75% 50% 67% 67%,0.031,0.081
binarytrees,gpp,3,21,945,16.549,221620,0,79% 84% 41% 90%,5.700,16.739
binarytrees,gpp,3,21,945,15.680,221916,0,65% 60% 98% 57%,5.680,15.909
binarytrees,gpp,3,21,945,16.413,221648,0,82% 78% 79% 53%,5.715,16.650
binarytrees,gpp,3,21,945,16.522,221956,0,78% 84% 90% 41%,5.705,16.767
binarytrees,gpp,3,21,945,16.468,221492,0,82% 79% 44% 90%,5.743,16.925
binarytrees,gpp,3,21,945,15.407,221488,0,69% 90% 48% 62%,5.791,15.631
binarytrees,go,4,7,654,0.006,0,0,0% 76% 63% 0%,0.242,0.335
binarytrees,go,4,14,654,0.432,0,0,80% 69% 81% 79%,0.144,0.444
binarytrees,go,4,21,654,105.225,444012,0,95% 95% 95% 97%,27.573,105.535
binarytrees,go,4,21,654,105.384,456328,0,97% 94% 95% 96%,27.682,105.690
binarytrees,go,4,21,654,106.348,498500,0,95% 97% 96% 96%,27.828,106.659
binarytrees,go,4,21,654,105.583,471400,0,95% 95% 96% 96%,27.670,105.837
binarytrees,go,4,21,654,105.880,471068,0,96% 95% 95% 97%,27.780,106.299
binarytrees,go,4,21,654,105.276,455052,0,95% 98% 95% 95%,27.562,105.575
binarytrees,python3,2,7,338,0.038,6664,0,40% 4% 2% 58%,1.204,1.258
binarytrees,python3,2,14,338,1.153,9172,0,6% 0% 2% 100%,1.155,1.245
binarytrees,python3,2,21,338,254.507,274564,0,80% 0% 0% 20%,254.660,258.711
binarytrees,rust,3,7,754,0.005,0,0,31% 53% 3% 39%,0.307,0.388
binarytrees,rust,3,14,754,0.064,0,0,50% 67% 67% 100%,0.023,0.065
binarytrees,rust,3,21,754,14.182,133104,0,89% 89% 89% 100%,3.878,14.240
binarytrees,rust,3,21,754,13.912,133084,0,89% 99% 90% 89%,3.814,13.987
binarytrees,rust,3,21,754,13.942,149628,0,99% 89% 89% 89%,3.820,14.009
binarytrees,rust,3,21,754,13.970,132984,0,99% 89% 89% 90%,3.829,14.044
binarytrees,rust,3,21,754,14.541,141344,0,89% 90% 89% 99%,3.995,14.610
binarytrees,rust,3,21,754,13.881,133060,0,89% 99% 89% 90%,3.812,13.958
binarytrees,vw,3,7,930,0.847,50724,0,22% 0% 3% 78%,1.446,1.484
binarytrees,vw,3,14,930,0.926,51948,0,1% 9% 100% 2%,0.923,1.034
binarytrees,vw,3,21,930,82.545,375956,0,78% 76% 33% 60%,34.079,84.272
binarytrees,vw,3,21,930,81.560,376016,0,90% 65% 46% 43%,33.592,82.112
binarytrees,vw,3,21,930,82.224,375704,0,90% 51% 35% 64%,34.725,83.268
binarytrees,vw,3,21,930,82.129,375980,0,77% 82% 56% 30%,33.960,82.646
binarytrees,vw,3,21,930,81.414,375864,0,61% 89% 34% 68%,32.466,81.917
binarytrees,vw,3,21,930,80.640,375980,0,62% 84% 61% 33%,33.891,81.179
binarytrees,yarv,2,7,378,0.506,14436,0,52% 29% 13% 39%,3.802,5.037
binarytrees,yarv,2,14,378,2.486,19936,0,24% 68% 35% 100%,1.921,4.362
binarytrees,yarv,2,21,378,178.751,422996,0,13% 26% 76% 17%,140.685,184.914
binarytrees,openj9,3,7,540,0.343,37484,0,38% 27% 18% 33%,3.582,4.155
binarytrees,openj9,3,14,540,0.473,992,0,44% 61% 11% 54%,0.375,0.635
binarytrees,openj9,3,21,540,47.118,423824,0,71% 63% 12% 38%,26.344,48.520
binarytrees,openj9,3,21,540,47.461,422108,0,40% 20% 55% 70%,26.599,48.868
binarytrees,openj9,3,21,540,50.454,422940,0,69% 35% 40% 37%,28.486,51.207
binarytrees,openj9,3,21,540,50.755,432188,0,51% 15% 63% 56%,27.881,51.455
binarytrees,openj9,3,21,540,50.521,421420,0,61% 73% 37% 13%,27.903,51.109
binarytrees,openj9,3,21,540,49.976,413892,0,47% 68% 13% 50%,28.332,50.620
binarytrees,python3,3,7,1238,0.145,11372,0,30% 5% 5% 56%,1.737,1.669
binarytrees,python3,3,14,1238,1.744,67236,0,81% 42% 37% 97%,0.711,1.834
binarytrees,python3,3,21,1238,326.980,677608,0,72% 61% 93% 64%,113.338,328.505
binarytrees,gnat,4,7,2107,0.010,328,0,16% 33% 80% 5%,0.561,0.759
binarytrees,gnat,4,14,2107,0.168,0,0,44% 50% 50% 78%,0.085,0.189
binarytrees,gnat,4,21,2107,32.268,202304,0,82% 95% 80% 86%,9.487,32.490
binarytrees,gnat,4,21,2107,32.471,202428,0,93% 87% 84% 83%,9.422,32.673
binarytrees,gnat,4,21,2107,32.445,202412,0,81% 97% 80% 83%,9.573,32.653
binarytrees,gnat,4,21,2107,32.506,202244,0,84% 84% 83% 95%,9.591,33.137
binarytrees,gnat,4,21,2107,32.198,202428,0,88% 88% 89% 94%,9.226,33.081
binarytrees,gnat,4,21,2107,32.280,202300,0,83% 88% 89% 93%,9.204,32.492
binarytrees,dartsnapshot,1,7,457,0.280,69716,0,48% 17% 9% 31%,2.307,2.398
binarytrees,dartsnapshot,1,14,457,0.451,776,0,27% 31% 71% 50%,0.312,0.558
binarytrees,dartsnapshot,1,21,457,37.884,626696,0,85% 22% 11% 10%,30.285,39.048
binarytrees,dartsnapshot,1,21,457,38.161,608112,0,64% 22% 14% 30%,30.416,39.581
binarytrees,dartsnapshot,1,21,457,39.944,597716,0,11% 30% 66% 22%,31.433,40.765
binarytrees,dartsnapshot,1,21,457,38.068,612304,0,20% 1% 87% 19%,30.325,38.487
binarytrees,dartsnapshot,1,21,457,39.329,621336,0,19% 20% 10% 79%,31.027,39.795
binarytrees,dartsnapshot,1,21,457,39.917,596996,0,24% 20% 71% 15%,31.228,40.373
binarytrees,typescript,1,7,460,0.124,25276,0,51% 2% 6% 25%,2.133,1.800
binarytrees,typescript,1,14,460,0.275,836,0,8% 25% 4% 100%,0.269,0.367
binarytrees,typescript,1,21,460,90.536,678080,0,42% 41% 41% 50%,52.692,91.912
binarytrees,typescript,1,21,460,91.016,621512,0,39% 37% 63% 40%,51.319,92.327
binarytrees,typescript,1,21,460,91.422,624548,0,55% 46% 35% 39%,52.824,92.381
binarytrees,typescript,1,21,460,93.268,714352,0,45% 39% 39% 59%,51.866,94.266
binarytrees,typescript,1,21,460,92.545,619132,0,44% 54% 42% 39%,52.096,93.566
binarytrees,typescript,1,21,460,92.676,708632,0,44% 39% 46% 56%,52.294,96.862
binarytrees,openj9,2,7,552,0.345,44680,0,54% 4% 30% 24%,3.521,3.941
binarytrees,openj9,2,14,552,0.454,992,0,34% 44% 69% 7%,0.340,0.523
binarytrees,openj9,2,21,552,33.625,398464,0,28% 52% 60% 43%,18.495,34.030
binarytrees,openj9,2,21,552,33.447,400116,0,48% 56% 19% 62%,18.445,33.988
binarytrees,openj9,2,21,552,39.218,426300,0,24% 61% 45% 52%,21.904,39.673
binarytrees,openj9,2,21,552,33.891,406244,0,62% 15% 56% 51%,18.581,34.179
binarytrees,openj9,2,21,552,33.439,443068,0,54% 55% 58% 14%,18.578,33.748
binarytrees,openj9,2,21,552,33.294,441956,0,15% 78% 32% 56%,18.493,33.730
binarytrees,dartsnapshot,2,7,1410,0.235,37644,0,88% 11% 2% 35%,1.969,2.688
binarytrees,dartsnapshot,2,14,1410,0.446,812,0,70% 58% 48% 86%,0.223,0.582
binarytrees,dartsnapshot,2,21,1410,45.174,789916,0,56% 49% 47% 69%,20.658,45.791
binarytrees,dartsnapshot,2,21,1410,45.021,769248,0,61% 54% 50% 60%,20.293,45.643
binarytrees,dartsnapshot,2,21,1410,45.569,819292,0,62% 51% 55% 53%,20.747,46.027
binarytrees,dartsnapshot,2,21,1410,45.534,815180,0,60% 48% 62% 51%,20.892,45.932
binarytrees,dartsnapshot,2,21,1410,44.954,799032,0,63% 63% 49% 51%,20.688,46.532
binarytrees,dartsnapshot,2,21,1410,45.210,746232,0,49% 70% 56% 48%,20.439,45.545
binarytrees,jruby,3,7,400,12.744,168628,0,40% 58% 37% 32%,11.790,19.657
binarytrees,jruby,3,14,400,12.391,200304,0,64% 63% 83% 53%,4.748,12.523
binarytrees,jruby,3,21,400,111.746,1875888,0,10% 13% 88% 8%,94.461,113.042
binarytrees,jruby,3,21,400,109.921,1716344,0,17% 7% 7% 88%,93.825,111.421
binarytrees,jruby,3,21,400,112.996,1815588,0,43% 27% 14% 35%,96.064,114.167
binarytrees,jruby,3,21,400,112.110,1452632,0,32% 7% 7% 72%,96.078,113.935
binarytrees,jruby,3,21,400,110.937,1474188,0,29% 17% 20% 53%,94.256,112.048
binarytrees,jruby,3,21,400,117.623,1820308,0,8% 46% 50% 14%,100.701,119.504
binarytrees,dartaot,2,7,1410,0.050,8,0,45% 7% 4% 52%,0.554,0.593
binarytrees,dartaot,2,14,1410,0.214,0,0,64% 44% 50% 60%,0.100,0.218
binarytrees,dartaot,2,21,1410,40.624,724980,0,63% 60% 60% 61%,16.817,40.974
binarytrees,dartaot,2,21,1410,42.019,760064,0,60% 65% 58% 60%,17.532,42.646
binarytrees,dartaot,2,21,1410,40.834,726024,0,58% 64% 63% 58%,16.995,41.084
binarytrees,dartaot,2,21,1410,41.741,700844,0,61% 63% 69% 53%,17.107,41.907
binarytrees,dartaot,2,21,1410,41.133,727840,0,73% 54% 62% 56%,16.966,41.456
binarytrees,dartaot,2,21,1410,41.104,744808,0,57% 61% 68% 57%,17.001,41.360
binarytrees,fsharpcore,2,7,482,0.265,33008,0,61% 0% 2% 13%,2.674,2.055
binarytrees,fsharpcore,2,14,482,0.529,36248,0,65% 26% 5% 8%,0.555,0.582
binarytrees,fsharpcore,2,21,482,45.797,1351004,0,28% 32% 35% 21%,40.522,46.936
binarytrees,fsharpcore,2,21,482,46.040,1309300,0,29% 38% 33% 22%,40.554,49.306
binarytrees,fsharpcore,2,21,482,46.561,1394576,0,35% 36% 30% 19%,40.590,48.759
binarytrees,fsharpcore,2,21,482,46.112,1223964,0,34% 34% 32% 16%,40.262,46.457
binarytrees,fsharpcore,2,21,482,46.139,1301560,0,29% 36% 32% 20%,40.325,46.856
binarytrees,fsharpcore,2,21,482,46.183,1338660,0,11% 46% 49% 11%,40.443,47.364
binarytrees,fpascal,7,7,1003,0.008,0,0,0% 40% 55% 5%,0.209,0.209
binarytrees,fpascal,7,14,1003,0.068,0,0,50% 100% 50% 40%,0.038,0.091
binarytrees,fpascal,7,21,1003,10.875,132624,0,100% 84% 52% 71%,3.710,11.372
binarytrees,fpascal,7,21,1003,10.935,103128,0,91% 83% 24% 100%,3.716,11.058
binarytrees,fpascal,7,21,1003,10.971,103316,0,47% 60% 42% 100%,4.543,11.332
binarytrees,fpascal,7,21,1003,10.260,103120,0,100% 89% 70% 80%,3.059,10.335
binarytrees,fpascal,7,21,1003,10.245,132852,0,47% 100% 53% 23%,4.683,10.418
binarytrees,fpascal,7,21,1003,10.873,103280,0,43% 98% 53% 47%,4.596,11.062
binarytrees,csharpcore,5,7,767,0.147,16992,0,30% 66% 14% 5%,1.249,1.436
binarytrees,csharpcore,5,14,767,0.272,0,0,41% 22% 37% 74%,0.191,0.332
binarytrees,csharpcore,5,21,767,20.823,766560,0,85% 84% 87% 88%,6.114,21.044
binarytrees,csharpcore,5,21,767,21.237,914776,0,89% 86% 82% 86%,6.262,21.478
binarytrees,csharpcore,5,21,767,21.254,1030984,0,92% 88% 89% 86%,6.053,21.452
binarytrees,csharpcore,5,21,767,22.142,765824,0,84% 81% 89% 92%,6.513,22.477
binarytrees,csharpcore,5,21,767,21.410,858276,0,84% 84% 91% 89%,6.233,21.732
binarytrees,csharpcore,5,21,767,21.707,971448,0,92% 91% 85% 82%,6.252,21.881
binarytrees,fsharpcore,4,7,488,0.272,32940,0,62% 5% 3% 11%,2.916,2.365
binarytrees,fsharpcore,4,14,488,0.497,38620,0,27% 2% 6% 68%,0.497,0.510
binarytrees,fsharpcore,4,21,488,38.184,1162740,0,14% 51% 45% 10%,32.680,39.039
binarytrees,fsharpcore,4,21,488,36.968,1008964,0,16% 46% 46% 8%,32.042,37.298
binarytrees,fsharpcore,4,21,488,37.392,1084028,0,31% 37% 28% 22%,32.260,37.942
binarytrees,fsharpcore,4,21,488,36.831,1088904,0,29% 34% 37% 17%,31.934,37.342
binarytrees,fsharpcore,4,21,488,38.514,1219884,0,21% 38% 47% 13%,32.869,38.916
binarytrees,fsharpcore,4,21,488,36.833,1033200,0,17% 43% 41% 15%,32.361,37.353
binarytrees,ghc,2,7,491,0.010,8,0,3% 64% 76% 6%,0.330,0.491
binarytrees,ghc,2,14,491,0.239,0,0,38% 29% 92% 23%,0.137,0.250
binarytrees,ghc,2,21,491,61.562,453996,0,39% 81% 56% 38%,29.419,62.886
binarytrees,ghc,2,21,491,61.294,452208,0,94% 37% 37% 43%,29.276,61.724
binarytrees,ghc,2,21,491,60.543,451052,0,57% 37% 37% 80%,29.068,61.077
binarytrees,ghc,2,21,491,60.875,451968,0,87% 40% 39% 45%,29.196,61.343
binarytrees,ghc,2,21,491,60.455,455264,0,36% 78% 59% 36%,29.035,60.598
binarytrees,ghc,2,21,491,61.441,449956,0,37% 51% 86% 37%,29.359,61.794
binarytrees,csharpaot,5,7,767,0.158,27356,0,16% 30% 37% 35%,1.540,1.817
binarytrees,csharpaot,5,14,767,0.275,0,0,25% 47% 30% 70%,0.192,0.331
binarytrees,csharpaot,5,21,767,21.197,810884,0,87% 85% 85% 88%,6.193,21.397
binarytrees,csharpaot,5,21,767,21.927,974576,0,84% 93% 82% 85%,6.435,22.106
binarytrees,csharpaot,5,21,767,21.857,971644,0,87% 91% 88% 83%,6.300,22.041
binarytrees,csharpaot,5,21,767,21.495,956384,0,89% 88% 92% 86%,6.165,21.893
binarytrees,csharpaot,5,21,767,21.950,939220,0,92% 86% 83% 86%,6.376,22.140
binarytrees,csharpaot,5,21,767,21.110,768660,0,86% 86% 85% 88%,6.154,21.273
binarytrees,dartsnapshot,3,7,1206,0.316,76512,0,86% 7% 9% 26%,2.340,2.994
binarytrees,dartsnapshot,3,14,1206,0.798,94208,0,57% 52% 48% 42%,0.428,0.852
binarytrees,dartsnapshot,3,21,1206,99.966,1508836,0,43% 41% 46% 57%,54.516,101.558
binarytrees,dartsnapshot,3,21,1206,99.664,1438396,0,46% 45% 45% 50%,54.020,100.655
binarytrees,dartsnapshot,3,21,1206,99.071,1416256,0,57% 44% 43% 42%,53.928,100.003
binarytrees,dartsnapshot,3,21,1206,98.410,1550948,0,40% 53% 51% 41%,53.530,99.557
binarytrees,dartsnapshot,3,21,1206,99.757,1543632,0,56% 45% 43% 42%,54.290,100.595
binarytrees,dartsnapshot,3,21,1206,98.731,1538184,0,58% 43% 41% 43%,53.646,99.508
binarytrees,csharpcore,3,7,676,0.206,16956,0,2% 71% 32% 0%,1.115,1.172
binarytrees,csharpcore,3,14,676,0.452,724,0,74% 32% 17% 35%,0.312,0.494
binarytrees,csharpcore,3,21,676,52.110,1421168,0,87% 88% 84% 83%,15.591,53.336
binarytrees,csharpcore,3,21,676,52.036,1889664,0,82% 84% 89% 82%,15.716,52.927
binarytrees,csharpcore,3,21,676,54.109,1685924,0,85% 88% 87% 83%,16.002,54.871
binarytrees,csharpcore,3,21,676,52.429,1749396,0,83% 80% 82% 89%,16.005,53.368
binarytrees,csharpcore,3,21,676,54.205,1614472,0,84% 83% 91% 81%,16.136,54.852
